Acne Acnee
Key Cheie
Keyboard Tastatura
KFC KFC
Kidney Rinichi
King Rege
Kiwi Kiwi
Knife Cutit
Koala Koala
Ladybug Buburuza
Lake Lac
Lamp Lampa
Lantern Lanterna
Laptop Laptop
Lavender Levantica
Leaf Frunza
Lemon Lamaie
Leopard Leopard
Lighthouse Far
Lilies Crini
Lily Crin
Lion Leu
Lip Buza
Lizard Soparla
Lobster Homar
Mall Mall
Mango Mango
Map Harta
Maple Artar
Marigold Galbenele
Mars Marte
Mask Masca
Maze Labirint
McDonald McDonald
Meat Carne
Menu Meniu
Mercury Mercur
Messi Messi
Meteor Meteor
Mexico Mexic
Milk Lapte
Mirror Oglinda
Mom Mama
Monkey Maimuta
Moon Luna
Moss Muschi
Mountain Munte
Moustache Mustata
Mud Noroi
Mushroom Ciuperca
Nail Unghie
NASA NASA
Neck Gat
Neptune Neptun
Net Plasa
Netherlands Olanda
Newspaper Ziar
Neymar Neymar
Nigeria Nigeria
Nike Nike
Norway Norvegia
Nose Nas
Nut Nuca
Oak Stejar
Ocean Ocean
Octopus Caracatita
Office Birou
Old Batran
Orange Portocala
Orchid Orhidee
Ostrich Strut
Oven Cuptor
Owl Bufnita
Palm Palmier
Panda Panda
Panther Pantera
Park Parc
Parrot Papagal
Peach Piersica
Peacock Paun
Penguin Pinguin
Peninsula Peninsula
Percentage Procentaj
Photo Fotografie
Pie Placinta
Pig Porc
Pigeon Porumbel
Pillow Perne
Pineapple Ananas
Pirate Pirat
Pizza Pizza
Planet Planeta
Plate Farfurie
Pluto Pluto
Poker Poker
Poland Polonia
Pollution Poluare
Pond Stufaris
Poppy Mac
Portugal Portugalia
Potato Cartof
Rabbit Iepure
Rainbow Curcubeu
Red Rosu
Refrigerator Frigider
Rhino Rinocer
Ring Inel
River Rau
Robot Robot
Rock Stanca
Rocket Racheta
Romania Romania
Ronaldo Ronaldo
Roof Acoperis
Rooster Cocos
Root Radacina
Rose Trandafir
Russia Rusia
Sadness Tristete
Salmon Somon
Sand Nisip
Saturn Saturn
Sea Mare
Seagull Pescarus
Seal Foca
Serenity Senin
Shark Rechin
Shell Cochilie
Shoe Pantof
Shrimp Crevete
Singer Cantaret
Sky Cer
Sleep Somn
Sloth Lenes
Smile Zambet
Snail Melc
Snake Sarpe
Soil Sol
Soldier Soldat
Spain Spania
Spider Paianjen
SpiderMan SpiderMan
Spoon Lingura
Spy Spion
Squirrel Veverita
Stairs Scari
Star Stea
Stomach Stomac
Stone Piatra
Strawberry Capsuna
Stream Parau
Suitcase Servieta
Sun Soare
Swamp Mlastina
Swan Lebada
Sweden Suedia
Sword Sabie
Symphony Simfonie
Table Masa
Tail Coada
Tate Tate
Tea Ceai
Telescope Telescop
Tiger Tigru
Tooth Dinte
Train Tren
Tree Copac
Trunk Trunchi
Tulip Lalea
Turkey Curcan
Turtle Testoasa
Twig Crenguta
UFO OZN
Ukraine Ucraina
Umbrella Umbrela
Universe Univers
Uranus Uranus
USA SUA
USB USB
Valley Vale
Venus Venus
Vietnam Vietnam
Violet Violeta
Violin Vioara
Volcano Vulcan
Vulture Vultur
Wall Perete
Watch Ceas
Waterfall Cascada
Watermelon Pepene
Wave Val
Weed Buruiana
Whale Balena
Wheel Roata
Whip Bici
Window Fereastra
Wine Vin
Wire Fir
Wolf Lup
Woodpecker Ciocanitoare
Zebra Zebra
Zoo Zoo
